"titre","auteur","abonnement","commentaire","localite","metteurenscene","date"
Vol au-dessus d'unnid de coucou,...,0,,MCA,Yves Dath,"2002-09-01 00:00:00"
Le Malade Imaginaire,...,0,,MCA,Yves Dath,"2002-09-01 00:00:00"
Lafille sur labanquette arrière,...,0,,MCA,Yves Dath,"2002-09-01 00:00:00"
Un air de famille,Agnès Jaoui & Jean-Pierre Bacri,0,,MCA,Yves Dath,"2003-01-01 00:00:00"
Le dîner de cons,...,0,,MCA,Yves Dath,"2003-01-01 00:00:00"
Mort sur le Nil,...,0,,MCA,Yves Dath,"2003-09-01 00:00:00"
LaPrésidente,...,0,,MCA,Yves Dath,"2003-09-01 00:00:00"
Notre-Dame de Paris,...,0,,MCA,Yves Dath,"2004-01-01 00:00:00"
Le 5eme Cabaret des Vieux 8,Yves Dath,0,,MCA,Yves Dath,"2004-01-01 00:00:00"
"Alarmes, etc...",Michael Frayn,0,,MCA,Yves Dath,"2004-09-01 00:00:00"
Veillée funèbre,...,0,,MCA,Yves Dath,"2004-09-01 00:00:00"
Le noir te va si bien,...,0,,MCA,Yves Dath,"2004-09-01 00:00:00"
Les nuits de Valogne,...,0,,MCA,Yves Dath,"2005-01-01 00:00:00"
Le comte de Monte-Cristo,...,0,,MCA,Yves Dath,"2005-01-01 00:00:00"
La Puce à l'Oreille,Georges Feydeau,0,,MCA,Yves Dath,"2005-09-01 00:00:00"
La jeune première,Jean-Pierre Dopagne,0,,MCA,Yves Dath,"2005-09-01 00:00:00"
C'est Jean Moulin qui a gagné,Jean-Paul Alègre,0,,MCA,Yves Dath,"2005-09-01 00:00:00"
"6e Cabaret des Vieux 8",Yves Dath,0,,MCA,Yves Dath,"2006-01-01 00:00:00"
Impair et père,Ray Cooney,0,,MCA,Yves Dath,"2006-01-01 00:00:00"
Espèces menacées,...,0,,MCA,Yves Dath,"2006-09-01 00:00:00"
Transports de femmes,...,0,,MCA,Yves Dath,"2006-09-01 00:00:00"
La fabuleuse aventuredu cirque Traviata,...,0,,MCA,Yves Dath,"2006-09-01 00:00:00"
